店名,种类,环境评分,服务评分,口味评分
张醪糟,小吃,3.17,3.71,4.78
哦吼耶新疆烤包子(成都银泰城店),小吃,4.02,3.36,3.29
香城江大姐(新都总店),小吃,4.7,3.87,4.63
韩味宫烤肉和牛品鉴(西村店),小吃,4.91,3.89,3.89
陆记蛋烘糕,小吃,4.14,4.9,4.61
共享椒麻鸡,小吃,3.94,4.14,4.21
无名蹄花,小吃,4.47,4.86,4.71
愚小面(橡树林总店),小吃,4.23,3.97,4.2
李记玫瑰糍粑冰粉,小吃,4.86,4.15,4.76
猪耳朵饭店,小吃,4.26,4.06,4.06
桂花冰汤圆,小吃,4.2,3.96,4.01
玉滋補,小吃,4.25,4.8,4.36
正兴张血旺40年老店,小吃,3.91,4.05,4.53
自然鲜·十五年传承小吃(紫荆店),小吃,4.33,4.39,4.73
唐校长钵钵鸡公司(金牛万达店),小吃,4.25,4.93,4.23
范四孃钵钵鸡,小吃,4.11,4.81,4.23
山城盅盅面,小吃,4.87,4.2,3.96
糖油果子,小吃,4.92,4.25,4.03
温江公平红烧兔(总店),小吃,3.96,4.8,4.31
王氏现捞(成都总店2.0直营店),小吃,4.48,4.05,3.91
嗨岛兔?四川特产烤兔兔头烤鸡(银泰城店),小吃,4.57,4.34,4.53
赵鸭子甜皮鸭(太古里店),小吃,4.42,4.96,4.9
廖老妈蹄花(陕西街店),小吃,4.59,4.02,4.21
姐妹手提串串,小吃,4.7,4.89,4.39
双福锅魁店,小吃,4.77,4.92,4.68
如轩海鲜砂锅粥(一品天下店),小吃,4.31,4.72,3.99
师父不会炸,小吃,3.72,3.65,4.72
张醪糟(街子店),小吃,4.04,4.74,3.9
纯阳馆鱼香排骨面(东二道街店),小吃,3.93,4.61,4.7
八二小区抄手(温江新光天地店),小吃,4.73,4.73,4.55
李刚油条,小吃,4.62,3.94,4.64
江之头面庄(仁和春天店),小吃,4.19,4,4.22
眼哥素椒面,小吃,4.87,4.97,4.84
温记府庙豆汤饭(海椒店),小吃,3.93,4.57,3.28
都江堰盅盅面,小吃,4.79,4.71,4
成都张容记鳝鱼面馆,小吃,4.79,4.72,4.84
叁无粉蒸(猛追湾店),小吃,3.94,4.58,4.6
西關二少甜食(奎星街旗舰店),小吃,4.6,4.25,4.01
御梁坊红糖馒头(莲桂南路店),小吃,4.54,4.51,4.27
冯四孃跷脚牛肉(银泰城店),小吃,4.57,4.89,4.17
神仙面,小吃,4.65,4.3,4.5
东府街食号浙闽菜,小吃,4.64,4.28,4.8
廖老妈蹄花(陕西街店),小吃,4.53,4.11,4.11
三雅面馆,小吃,4.06,4.41,4.56
铁门杂酱面,小吃,3.99,4.77,4.75
南大门韩糕(春熙路店),小吃,4.88,4.52,4.25
郑十八佛跳墙·鲍汁捞饭(恒大广场店),小吃,4.01,3.91,4.79
巷巷面,小吃,4.28,4.05,4.75
老号尤兔头(江安路店),小吃,4.58,3.96,4.73
拜居奇味面(肖家河店),小吃,4.82,4.47,4.45
傅强排骨(建设路总店),小吃,4.36,4.19,4.51
刘明记乐山烧烤(犀浦店),小吃,4.66,4.16,3.91
赵粽子,小吃,3.46,4.19,4.38
虎咬膘(太古里黑金店),小吃,4.51,4.87,4.37
怪味面,小吃,4.92,4.37,4.35
TAPLAB×24|7 by secoo,小吃,4.5,3.97,4.41
红星兔丁(武侯祠店),小吃,4.5,4.37,4.43
杨老三攀枝花羊肉米线,小吃,4.9,4.12,4.12
怪老头甜不辣,小吃,3.81,4.85,4.53
九尺婆婆店,小吃,4.93,4.12,4.06
赵卖面,小吃,4.28,3.15,4.57
甜不辣才怪(双流店),小吃,3.27,4.25,4.75
钱坤面(总店),小吃,4.71,3.88,4.06
小阿沁现打虾滑芝士榴莲饼,小吃,4.54,3.91,4.09
广元蒸凉面(银泰城店),小吃,4.32,4.85,4.24
麦当劳(双流机场T2店),小吃,4.01,4.32,4.2
吉食捞鲜卤现捞(天府长城店),小吃,4.82,4.29,4.09
山东菜煎饼(银泰城店),小吃,4.02,4.76,4.98
嗨岛兔(绿地468店),小吃,4.3,4.16,3.97
王氏现捞(宽窄巷子2.0直营店),小吃,4.72,4.28,3.88
1984内江老味道小吃店(清凤店),小吃,4.16,4.82,4.76
王妈手撕烤兔,小吃,3.01,3.93,3.09
兵哥豌豆面(蓝润店),小吃,4.36,4.41,4.45
乐山鲜知味钵钵鸡直营店,小吃,3.92,4.58,4.48
白家高记肥肠粉(华阳店),小吃,4.77,4.38,4.58
元通黄豆花,小吃,4.22,4.16,4.22
花脸猫梅干菜扣肉饼,小吃,4.56,4.7,4.96
家常味,小吃,4.81,4.51,4.77
喜面(万象城店),小吃,4.53,4.4,3.98
儿时回忆麻辣烫(观音桥店),小吃,4.09,4.25,4.58
豆花面(东较场街店),小吃,4.98,4.78,4.91
老北京风味,小吃,4.68,4.32,4.44
遵义师民虾子羊肉粉,小吃,4.64,4.41,4.5
南充丝三厂米粉,小吃,4.63,3.91,4.44
曾记乐山甜皮鸭,小吃,4.08,4.57,4.46
钵问·就是乐山钵钵鸡(春熙路店),小吃,4.88,4.26,3.99
翟记怪叔叔洋芋片片,小吃,4.35,4.95,4.38
云锦过桥米线,小吃,3.87,4.35,4.49
逗夫工匠?脆皮包浆豆腐(奎星楼店),小吃,4.77,3.89,4.8
飧市大包,小吃,4.48,4.68,4.21
十一街幺鸡成都担担面(悠方店),小吃,4.75,4.74,3.96
茯苓酱肉包·酱肉面,小吃,3.36,3.75,3.44
兰姐素椒面,小吃,4.99,4.84,4.08
半天特色面,小吃,4.69,4.11,4.62
上池面馆,小吃,3.96,3.15,3.8
兔火锅碰到麻辣烫(建设路总店),小吃,4.92,3.98,3.89
南大门韩糕(郭家桥店),小吃,3.9,3.75,4.56
双流无名蘸水肥肠(华阳总店),小吃,4.12,4.96,4.47
奇味甜不辣,小吃,3.9,4.25,4.1
学街秀兰麻辣烫(天府四街店),小吃,4.21,4.44,4.5
私房水饺(海椒总店),小吃,4.75,4.55,4.3
1985牛市口番茄煎蛋面,小吃,4.66,4.22,4.19
米乃家日式小吃(春熙路店),小吃,4.87,4.76,4.62
八二干海椒抄手,小吃,4.26,4.15,4.63
兰婆婆蓬蓬面(太古里店),小吃,4.08,4.66,4.84
丫头冰粉,小吃,4.64,4.94,4.9
胡悠记·薄荷冰粉(三友路店),小吃,4.48,4.8,4.1
官记乐山钵钵鸡(玉林总店),小吃,4.61,4.5,4.85
基德家西昌牛羊杂粉(宽窄巷子总店),小吃,4.21,4.18,4.85
重庆小面,小吃,4.64,3.97,4.57
廖排骨(文殊院总店),小吃,4.75,4.93,4.18
嘎嘎鸭脑壳(兆景路店),小吃,4.96,4.75,4.42
凉凉糍粑冰粉,小吃,4.17,4.53,4.73
太平张醪糟(街子店),小吃,4.7,3.95,4.51
顺记腌卤,小吃,4.92,4.89,4.58
妈妈醪糟,小吃,4.39,4.19,4.13
赵记传承牛奶甜品(银泰in99店),小吃,4.4,4.66,4.01
席罐罐罐饭(奥克斯广场店),小吃,4.49,4.75,4.95
小妹滋补蹄花,小吃,4.77,4.28,4.38
欲雪?饺子酒馆(太古里店),小吃,4.05,4.91,4.9
桃园眷村(成都万象城店),小吃,3.91,4.69,3.92
拾光三味·川派小吃集(环球中心乐天店),小吃,4.93,4.27,4.91
樊三嬢手工甜水面(大邑安仁店),小吃,4.68,4.56,4.89
甘食記成都肥肠粉(文殊院店),小吃,4.61,4.88,4.81
王氏现捞,小吃,4.81,4.18,4.42
棒棒椰(春熙路店),小吃,4.75,3.88,4.98
巴味仙面庄,小吃,4.73,4.12,4.63
李记无名蘸水肥肠粉店,小吃,4.27,3.96,4.52
老成都小吃集·钵钵鸡.肥肠粉,小吃,4.72,4.34,4.16
茉小館,小吃,4.67,4.17,4.79
甘食记成都肥肠粉(春熙路店),小吃,4.04,4.12,4.25
洋芋片片,小吃,3.27,4.7,3.84
娇缘蹄花(福年店),小吃,4.55,4.09,4.03
刘酥排(海滨店),小吃,4.49,4.24,3.97
马路边边麻辣烫(绿地468店),小吃,3.92,4.97,4.24
五香草现捞,小吃,4.85,4.25,4.44
邹记乐山名小吃牛肉?饼,小吃,4.95,4.26,4.67
郭家桥杂酱面,小吃,4.41,4.13,4.32
罗一手奶汤面(绿地468店),小吃,4.66,4.41,4.6
胎不嗦麻辣烫总店,小吃,4.48,4.72,3.92
壹门餐厅(会展店),小吃,4.85,3.99,4.8
龙抄手(春熙路总店),小吃,3.89,4.69,3.41
春熙路夜市街,小吃,3.96,4.96,3.25
宽汤汤抄手(高新店),小吃,4.51,4.95,4.59
无名小面,小吃,4.61,3.98,4.94
降龙爪爪(春熙路总店),小吃,4.89,3.9,4.39
柠檬泰式海鲜火锅,小吃,4.65,4.26,4.11
汉堡王(成都大悦城店),小吃,4.95,4.84,4.91
茶亭序(红唐店),小吃,4.54,4.43,4.31
楊國福麻辣烫(建设巷店),小吃,4.11,3.07,2.95
coco壱番屋(大悦城店),小吃,4.24,4.66,3.9
周签签锅巴土豆(建设路总店),小吃,4.55,3.56,3.42
罗一手奶汤面(总店),小吃,4.38,4.93,4.24
嘉州啵啵油炸串串(盛世草堂店),小吃,4.13,3.98,4.34
李先生牛肉面大王(成都东站店),小吃,4.71,4.88,4.5
刘明记双流老妈兔头(一品天下店),小吃,4.6,4.41,4.89
I-YOU面缘(仁和新城店),小吃,4.84,3.88,4.28
兵哥泡椒兔,小吃,3.82,3.19,3.15
酿香居叶儿粑,小吃,3.99,4.21,3.89
李孃兔头,小吃,4.39,3.51,2.94
怀粮生煎(银泰城店),小吃,3.87,4.97,4.41
歌舞团小食堂,小吃,4.03,3.94,4.32
生椒牛肉面,小吃,4.68,3.31,3.55
降龙爪爪(建设路店),小吃,4.32,4.2,4.21
小田豆浆(九眼桥店),小吃,4.77,4.6,3.96
邵叔叔南洋鸡饭(晶融汇店),小吃,4.5,4.11,4.27
五妹朱记肥肠粉(实业街店),小吃,4.25,4.37,3.88
汉堡王(茂业百货店),小吃,4.98,4.31,3.9
范记春满园豆花面,小吃,3.02,3.78,2.91
峨眉山豆腐脑(芳草总店),小吃,4.88,4.79,4.32
唐门水饺,小吃,4.89,3.98,4.39
南大门韩糕(双楠店),小吃,4.97,3.99,4.53
滇香肆过桥米线,小吃,4.06,3.92,4
荥窑·鸡汤爸爸,小吃,3.33,3.11,3.54
胡悠记·薄荷冰粉(建设路店),小吃,4.02,4.32,4.63
夫妻肥肠粉,小吃,4.59,4.29,4.76
呼哈凉卷粉(万象城店),小吃,4.61,4.54,3.9
老西门干海椒抄手,小吃,4.09,4.66,4.01
豆腐脑花,小吃,3.25,4.1,3.21
王春春鸡汤饭·钵钵鸡(春熙路银石店),小吃,4.79,4.31,4.03
韩包子(建设路店),小吃,4.17,3.31,4.34
双味记土鸡米线,小吃,3.88,4.01,4.29
鸿顺吉稀溜耙(小龙桥店),小吃,3.89,4.03,3.88
楊國福麻辣烫(世纪城路店),小吃,4.07,4.47,3.92
哈籠包子(双楠街店),小吃,4.82,3.04,2.89
吉野家(时代百盛店),小吃,4.73,4.38,4.41
双流老妈兔头(文殊院店),小吃,4.21,4.33,3.98
王味缘·乐糖冰粉(天府长城店),小吃,3.97,4.38,4.95
王家蹄花,小吃,4.82,4.6,3.89
食而百(建设路店),小吃,4.38,4.56,4.57
唐唐糍粑冰粉(玉林总店),小吃,4.12,4.3,4.54
杨婆鸡汤小馆(郫都店),小吃,4.55,4.15,4.18
四玺丁卤肉包子铺,小吃,4.2,4.96,4.65
京城特号饺子餐厅(天府长城店),小吃,4.97,4.24,4.12
粉婆婆(鹭洲里店),小吃,4.93,4.26,4.5
愚小面(西宸天街店),小吃,4.21,4.87,4.01
秦記手工面,小吃,4.04,4.76,4.39
杨记绵阳米粉(光明巷店),小吃,4.53,4.08,4.43
九倒拐麻辣烫(八里庄店),小吃,4.97,4.77,4.05
北方马记无矾无碱脆皮杂粮大油条,小吃,4.47,3.88,4.59
钵问·就是乐山钵钵鸡(太古里全国总店),小吃,4.58,4.39,4.84
渔桥炖鸡奶汤面(东街店),小吃,3.28,2.94,4.07
柒小贰米粉,小吃,4.77,4.37,4.88
口味鲜面庄(隆兴街店),小吃,4.31,4.71,4.28
财大小吃街,小吃,4.11,4.8,3.89
林记渣渣面(西街店),小吃,4.83,4.41,4.61
小芝匠,小吃,4.91,4.72,4.9
王味缘·乐糖冰粉(鹭洲里店),小吃,4.14,4.84,4.14
嘎嘎鸭脑壳(银泰城店),小吃,4.88,4.98,4.82
一醒西北面(银泰城店),小吃,4.48,4.7,4.48
锦里味道,小吃,4.16,4.59,3.89
赵鸭子甜皮鸭(天府三街店),小吃,4.45,4.69,4.75
百万油浸兔头,小吃,4.34,4.36,4.4
一品小笼(悠方店),小吃,3.49,3.57,3.77
雷祖芳老妈蹄花店,小吃,4.63,4.58,4.47
双流老妈兔头,小吃,4.91,4.99,4.45
卢婆婆姜鸭面(新光店),小吃,4.9,4.07,4.12
省委职工食堂,小吃,4.05,4.03,4.4
崔牛肉(龙井店),小吃,4.09,4.36,3.97
排面.烤(望平街店),小吃,3.51,4.27,3.33
龙抄手(浣花北路店),小吃,4.26,4.13,4.32
十二桥包子,小吃,4.76,4.29,4.14
昌恒福太婆抄手店(都江堰总店),小吃,4.74,4.31,4.47
素椒杂酱面(油篓街店),小吃,4.28,4.17,4.22
江之头面庄(金牛凯德店),小吃,4.46,4.23,4.81
过场锅巴土豆(西安南路店),小吃,4.06,4.97,4.49
跷脚牛肉豆腐脑(保利店),小吃,2.94,4.11,4.31
肉爆爆响皮面(牛市口店),小吃,4.47,4.19,4.75
老店蘸水肥肠·肥肠粉,小吃,4.84,3.99,3.94
黄记家常面,小吃,4.91,4.76,4.4
王佐贵肥汁米线(科华北路店),小吃,4.4,4.42,4.19
周琴老面馆,小吃,3.83,3.86,4.08
给点面子·烤冷面,小吃,4.61,4.96,4.18
味出名肥肠粉(文殊院店),小吃,4.21,3.89,4.87
富家唐肥肠,小吃,3.87,4.36,4.22
吃货营,小吃,4.04,3.03,3.17
李不易牛排面?24小时,小吃,4.64,4.76,4.67
马路边边麻辣烫(新都店),小吃,4.44,4.66,4.92
嘎嘎鸭脑壳(科华路店),小吃,4.14,4.53,4.02
王浩儿纪六孃(石人店),小吃,4.47,4.22,3.66
老号尤兔头家常菜馆,小吃,4.32,4.95,4.93
青城一绝刘荞面,小吃,4.71,3.94,4.03
饺子·酒馆 Dumplings·Bar,小吃,4.36,3.99,4.97
蓉柳柳州螺蛳粉(科华路店),小吃,3.96,4.08,4.69
老六面店(总府路店),小吃,3.18,4.23,4.15
汉堡王(成都银泰中心),小吃,4.51,4.83,4.82
张亮麻辣烫,小吃,3.91,4.52,4.46
面子先生(龙潭总店),小吃,4.62,3.92,4.96
粥传(双流万达店),小吃,4.49,3.94,4.54
乐山油炸串串(中和店),小吃,4.8,4.12,4.18
大老碗·西北手工面(科华店),小吃,4.94,4.49,3.96
老街杂酱面,小吃,3.9,4.41,4.62
韩包子(青石桥店),小吃,4.73,4.23,4.48
雅安倪记老面馆,小吃,4.28,4.09,4.55
华兴街煎蛋面,小吃,3.82,4.25,4.8
绵阳米粉,小吃,4.18,4.15,4.41
卢婆婆姜鸭面(西宸天街店),小吃,4.89,4.53,4.98
何吉发手撕面(财经广场店),小吃,4.47,4.19,4.47
干辣椒抄手(犀浦店),小吃,4.57,4.11,4.31
汉堡王(富力广场店),小吃,4.2,4.61,4.47
茄留香茄盒,小吃,4.45,4.06,4.6
闲贰·格调烧烤(财富店),小吃,4,4.57,4.24
贾家胖师烧鸭店,小吃,3.17,3.05,4.48
孙二娘油炸串串(光华店),小吃,3.01,3.41,3.97
全家福米线,小吃,3.29,3.13,3.14
肯德基(春禧店),小吃,4.29,4.67,4.13
拾光三味·川派小吃集(龙湖店),小吃,4.01,3.89,4.73
蒋姐蹄花,小吃,4.1,4.49,4.04
手作り咖喱-咖咖正店(紫荆店),小吃,3.99,4.53,4.28
廖记棒棒鸡(双流t2特产区店),小吃,4.43,4.14,4.16
特色鲜兔头,小吃,4.71,4.4,4.07
三妹糖油果子.包浆豆腐(奎星楼街店),小吃,4.47,4.58,4.23
甘食记成都肥肠粉(非遗传承店),小吃,4.53,4.71,4.47
乐山黄叔叔油炸串串,小吃,4.31,4.48,4.3
北街米线,小吃,4.88,4.7,4.23
嘉州九妹凤爪(九眼桥店),小吃,4.42,4.08,4.41
春熙巷子·民谣串吧(宽窄巷子总店),小吃,4.68,4.71,4.52
吉野家(悠方店),小吃,4.96,3.14,4.02
邱豆花,小吃,4.34,3.86,4.32
头鼎汉文化火锅(武侯祠店),小吃,4.45,4.27,3.91
钟记兔头,小吃,4.11,4.05,4.19
哦吼耶新疆烤包子(建设路店),小吃,3.66,4.87,4.04
冠名羊肉粉,小吃,4.36,4.04,4.17
老武汉热干面·烤吧,小吃,4.39,4.27,4.75
钟记牛肉刀削面,小吃,4.77,4.36,4.83
炸小明五花肉炸串铺(339店),小吃,4.37,4.79,4.48
嘎嘎鸭脑壳(红瓦寺店),小吃,4.93,4.08,4.41
老妈兔头(春熙路店),小吃,3.91,4.43,4.21
钟鸭子(北街店),小吃,4.21,4,4.51
射洪春卷(天府广场店),小吃,4.3,3.01,3.41
到家张醪糟(红星路谷雨店),小吃,4.96,4.61,4.89
南洋大师傅(群光广场店),小吃,4.49,4.14,4.84
正宗简阳贾家健康羊肉汤,小吃,4.12,4.57,4.18
古真记钵钵鸡(东升店),小吃,4.36,4.2,4.17
何肥肠,小吃,4.3,4.84,4.25
挞面王(银泰in99店),小吃,4.09,4.95,4.52
小南姜(较场坝店),小吃,4.32,4.82,4.63
盔盔仔,小吃,4.42,4.34,3.96
掌门土豆(星耀天都总店),小吃,4.45,4.8,4.46
蟹蟹倪香辣蟹,小吃,4.98,2.91,4.87
董老字号特色小吃店,小吃,4.8,4.47,4.8
仁和川菜酒楼(玉双路店),小吃,4.7,3.97,4.8
乐糖冰粉钵钵鸡(二十四城店),小吃,4.76,4.71,4.59
私客sike拌面(天府广场旗舰店),小吃,4.46,4.77,3.9
素糖纪(悠方店),小吃,4.03,4.47,4.01
坨坨凉糕·小吃研究所(三圣乡店),小吃,4.68,4.78,4.37
文德久缘鸡汤抄手(三洞桥店),小吃,4.18,3.82,4.22
嘎嘎鸭脑壳(天府长城店),小吃,3.93,3.9,4.4
胖姐特色串串冒菜,小吃,4.8,4.1,4.59
新怡和鸡肉豆花,小吃,3.94,4.57,4.2
鑫记牛肉面,小吃,3.9,4.56,3.93
八二小区抄手(新都缤纷广场店),小吃,4.03,3.15,4.08
席罐罐罐饭(凯德广场魅力城店),小吃,4.34,4.76,4.41
二孃鸡爪爪(双楠店),小吃,4.06,3.95,4.94
东满福虾仁水饺,小吃,3,3.38,4.35
三国烤肉海鲜欢乐自助风(春熙店),小吃,4.77,3.03,3.46
甜心闲生传统手工冰粉(建设路店),小吃,4.34,4.06,4.5
肥肠世家一道肥肠,小吃,2.89,4.62,3.06
席罐罐罐饭(财富又一城店),小吃,4.57,4.29,4.35
林皓双流老妈兔头(中和店),小吃,4.78,4.55,4.23
嘎嘎鸭脑壳(李家沱店),小吃,4.5,4.02,4.19
庆云面,小吃,4.12,4.77,3.9
李姐特色小吃,小吃,3.9,3.9,3.91
吉食捞鲜卤现捞(翡翠城店),小吃,4.96,4.62,3.25
点将台口口面,小吃,4.56,4.86,4.19
包家兄弟牛肉饭店,小吃,4.63,3.24,3.55
牟抄手,小吃,3.17,4.87,4.62
古真记钵钵鸡(骡马市店),小吃,4.57,4.12,4.26
郑辣记田螺·22年老字号,小吃,4.79,4.49,3.42
传统杂酱面,小吃,4.97,4.31,4.02
老号牛王庙金宴面店,小吃,4.1,4.33,4.77
老街面匠(太升店),小吃,4.29,4.41,4.36
汉堡王(银海中心店),小吃,4.05,4.57,3.93
舌赞皇城·川式茶点,小吃,4.15,3.22,3.84
九天沸腾·精选级串串香(万科天荟店),小吃,4.09,4.95,4.47
程凉面,小吃,4.78,4.87,4.05
廖记棒棒鸡(红星路店),小吃,4.94,4.57,4.78
席罐·小罐烧菜(凯德广场新南店),小吃,4.19,4.77,4.92
宋鸡片(宽窄巷子店),小吃,4.81,4.42,4.29
双流老妈兔头(棠湖春天店),小吃,4.19,4.17,4.34
洞子口张凉粉(太古里直营店),小吃,4.78,3.56,3.38
肯德基(世豪广场店),小吃,4.86,4.97,4.5
名小吃,小吃,4.47,4.88,4
郑十八佛跳墙·鲍汁捞饭(太古里店),小吃,3.22,4.19,4.42
重庆森林钵钵鸡(川大店),小吃,3.95,3.93,4.59
武胜段记猪肝面(卓锦城店),小吃,4.4,4.05,4.4
寻味臭豆腐(奎星楼店),小吃,4.88,4.57,3.9
理记中原烩面馆,小吃,3.71,3.73,2.95
甘食记成都肥肠粉(世豪广场店),小吃,4.15,4.4,4.44
传统豆花凉面,小吃,4.33,4.17,4.43
肯德基(光华优品店),小吃,4.31,3.95,4.01
吴老大特色园子汤,小吃,4.95,4.81,3.07
壹牛老花溪牛肉粉(蜀都店),小吃,4.98,4.61,4.7
啖三花麻辣烫,小吃,4.18,4.47,4.37
双流老妈兔头,小吃,3.89,4.04,4.81
华椒老坛酸菜面(太升路忠烈祠店),小吃,3.97,4.3,4.6
麦当劳,小吃,4.8,3.91,4.56
乐山老地方油炸串串(宽窄巷子店),小吃,4.83,4.65,4.02
蔡师傅臭一回,小吃,4.02,4.85,4.67
肯德基(万象城店),小吃,4.92,4.4,4.76
刘酥排(太古里店),小吃,4.4,3.97,4.61
黄伞肺片(双楠分店),小吃,4.71,4.94,4.19
祖传苏油糕,小吃,3.96,4.65,4.42
张妈牛肉豆腐脑(海椒市街店),小吃,4.31,4.25,4.66
大福食堂,小吃,3.61,2.98,4.15
饺子就酒,小吃,4.76,4.92,3.23
木城柒燒鸭(莲花南路店),小吃,3.6,3.54,4.74
天回镇何氏豆腐,小吃,3.23,3.54,3.81
江胖哥卤肉(较场坝店),小吃,4.86,4.17,4.6
大石人家鱿鱼面馆(大石西路总店),小吃,3.28,3.18,3.97
小螺莉螺蛳粉(广都店),小吃,4.59,4.49,4.13
双流老号蘸水肥肠,小吃,4.51,4.89,3.98
深巷子嗨抄手,小吃,4.24,4,4.38
席罐罐罐饭(红牌楼店),小吃,4.08,3.96,4.69
禅泉冰粉(339店),小吃,4.34,3.98,4.78
肯德基(羊西店),小吃,4.88,4.17,4.19
正宗汪氏羊肉汤,小吃,4.48,4.67,4.45
合盛小面,小吃,4.95,4.16,4.53
知味牛肉面,小吃,3.76,4.01,4.67
嘎嘎鸭脑壳(莱蒙都会店),小吃,4.22,4.72,4
鲜肉蛋饼,小吃,3.45,3.92,4.6
有点方南充方锅盔,小吃,4.82,4.78,4.37
默记孙抄手,小吃,3.95,4.18,4.78
五味鲜肉抄手(温江总店),小吃,4.3,4.56,4.24
黔味羊肉粉(蜀都中心店),小吃,4.25,3.91,4.27
莎律轻食(银泰城店),小吃,4.32,4.89,4.04
麦当劳(悠方购物中心店),小吃,4.64,4.89,4.23
嘎嘎鸭脑壳(橡树林店),小吃,4.08,4.8,4.21
芙蓉蹄花,小吃,3.89,4.57,4.66
米土1951?现蒸宽米粉(来福士广场店),小吃,3.6,3.31,3.96
郑包子,小吃,4.29,4.45,4.89
汉堡王(中粮鸿云悦街店),小吃,4.47,4.41,4.7
文殊院·洞子口张老二凉粉,小吃,4.07,4.43,4.97
麦当劳(来福士餐厅),小吃,4.97,3.92,4.54
七分家味面,小吃,4.63,4.43,4.7
薄荷冰（手搓冰粉·炸土豆）(保利分店),小吃,4.11,4.48,4.49
甘食记成都肥肠粉(万象城店),小吃,4.59,4.09,4.02
晶晶友味(蜀汉路店),小吃,4.63,3.21,3.17
肉弹吐司(建设路店),小吃,4.18,4.56,4.11
八二小区抄手(大悦城店),小吃,3.04,2.97,4.53
蔡姐肥肠粉,小吃,4.36,4.79,4.06
徐冰粉(奎星楼店),小吃,4.79,4.4,4.56
老妈蹄花总店(祠堂街店),小吃,2.93,4.2,4.37
家常味抄手水饺,小吃,3.66,3.67,3.78
王太二功夫锅盔(文殊院店),小吃,4.38,4.64,4.45
馋签签冷锅串串(九眼桥店),小吃,4.02,4.01,4.43
咏勝麻辣烫经营部(万达店),小吃,4.56,4.15,4.67
肯德基(青羊万达店),小吃,4.87,3.91,4.03
陈记爆炸土豆店,小吃,3.45,4.2,3.43
王记特色锅魁(洗面桥店),小吃,4.15,4.24,4.13
白家高记肥肠粉(总店),小吃,3.1,3.24,3.33
喜丰面馆(玉林店),小吃,4.69,4.21,4.45
张老五凉粉店(省医院店),小吃,3.07,4.84,3.64
竹笋青椒鸡(文德路店),小吃,4.55,4.2,3.65
二号桥脆绍面,小吃,4.78,4.52,4.69
王婆荞面(玉林分店),小吃,3.6,3.28,4.85
鼎乐怡虾仁水饺(青羊万达店),小吃,4.15,4.77,4.01
卢婆婆姜鸭面(海昌店),小吃,4.12,4.43,4.93
雅安荥经老文记棒棒鸡,小吃,4.69,3.98,4.3
牛蹄筋老面馆(温江店),小吃,4.6,4.49,4.83
倪稳当?麻辣烫,小吃,4.58,4.91,3.95
正该·牛王庙吴记怪味面(桐梓林店),小吃,3.91,4.76,4.19
8090·公安锅盔(金罗路店),小吃,3.97,4.89,4.33
竹阳记杂酱面酱肉包,小吃,4.79,4.85,4.48
春阳水饺(劼人路店),小吃,4.88,3.93,4.14
女儿食堂,小吃,4.07,4.53,4.08
席罐罐罐饭(来福士店),小吃,4.66,4.64,4.15
一品小笼(大悦城店),小吃,3.51,3.73,3.98
青套村大牛米线(红唐店),小吃,4.88,4.34,4.95
魏记正宗羊马查渣面,小吃,4.4,4.18,4.35
甜水面担担面(文殊院店),小吃,4.07,4.19,4.51
攀枝花盐边羊肉米线,小吃,2.93,4.4,4.46
袁阿妹·脆皮包浆豆腐,小吃,4.43,4.79,4.08
张小料骨汤面,小吃,4.73,4.31,4.54
非常粥道(王府井二店),小吃,4.01,4.6,3.97
五香草现捞(总店),小吃,4.77,4.18,4.45
四姐手撕兔,小吃,4.35,3.91,4.65
王二丫手工冰粉(银泰城店),小吃,4.47,4.63,4.6
全味面馆(一环路店),小吃,3.97,4.49,4.84
宴信记肥肠粉,小吃,3.96,4.46,4.68
巫道珍土豆(新都店),小吃,4.24,3.26,2.95
肯德基(火车东站店),小吃,4.27,4.6,4.58
遵义师民虾子羊肉粉(春熙王府井总店),小吃,4.63,4.39,4.04
哈笼包子(龙祥路店),小吃,3.36,4.41,4.87
汉堡王(华宇店),小吃,4.55,4.48,4.8
六熹·手作抄手(鸿云悦街店),小吃,4.33,4.9,3.92
刘明记双流老妈兔头(金沙店),小吃,3.31,3.75,4.79
肯德基(交大店),小吃,4.53,4.54,4.01
西朵云焗饭意面牛排馆(九眼桥店),小吃,4.47,4.14,4.16
YECLIP COFFEE 黄色回形针咖啡,咖啡厅,4.1,3.97,4.16
hellopets·猪咖狗咖,咖啡厅,4.5,4.17,4.86
格度猫咖土拨鼠咖浣熊咖,咖啡厅,4.74,4.35,4.67
TT.J COFFEE(玉林店),咖啡厅,4.11,4.75,4.92
将心比心 Café 洋菓子,咖啡厅,4.18,4.57,4.96
别有 ANOTHERSPACE(太古里店),咖啡厅,4.14,4.12,4.57
岷山饭店·The river house西餐厅,咖啡厅,4.03,4.39,4.93
FIELDS AVANT 十域·臻选(悠方店),咖啡厅,4.94,4.6,4.8
Ten ounce 10盎司,咖啡厅,3.92,4.43,4.04
厘途·LittleTravel(猛追湾店),咖啡厅,4.38,4.95,4.04
LAM枏木,咖啡厅,4.42,3.89,3.96
Galatea法式甜品,咖啡厅,4.44,4.3,4.42
Audrey cat卷卷赛级猫咖,咖啡厅,4.48,4.22,4.33
PLANKTON VINTAGE,咖啡厅,4.08,4.97,3.98
